,date,btc_hashrate,eth_hashrate,ltc_hashrate,btc_tweets,eth_tweets,ltc_tweets,btc_transactions,eth_transactions,ltc_transactions,btc_marketcap,eth_marketcap,ltc_marketcap,btc_difficulty,eth_difficulty,ltc_difficulty
2185,2014-12-28,312109045578472704,null,1700949808695,18427,null,829,75546,null,3278,4266469446,null,94175273,39457671307,null,58967
2186,2014-12-29,331823741040709440,null,1523703867219,19605,null,507,83283,null,2889,4267535667,null,94577893,39457671307,null,58967
2187,2014-12-30,302854682888407616,null,1531151326839,19477,null,491,84894,null,3405,4236520979,null,94949838,39740132580,null,58967
2188,2014-12-31,321822077886294592,null,1467501213630,20017,null,543,77259,null,3043,4241986269,null,95297340,40640955017,null,55174
2189,2015-01-01,322164647402563776,null,1495639433228,18681,null,593,59179,null,2848,4287908436,null,95560519,40640955017,null,54623
2190,2015-01-02,330205084335504000,null,1593350108223,9385,null,395,79122,null,3195,4272408724,null,94080617,40640955017,null,54623
2191,2015-01-03,333717727251091200,null,1568703406354,null,null,null,82065,null,5201,4078335542,null,81253226,40640955017,null,54279
2192,2015-01-04,331197708861639232,null,1489530677164,7300,null,301,85522,null,4937,3762088010,null,71991337,40640955017,null,53495
2193,2015-01-05,335092876729991296,null,1442629409901,23092,null,613,95429,null,4530,3705752688,null,73584358,40640955017,null,53495
2194,2015-01-06,316828611159900480,null,1389153397725,25041,null,1538,87663,null,4196,3774481974,null,74117499,40640955017,null,53495
2195,2015-01-07,310498558669679872,null,1302068890911,26987,null,2125,89776,null,4334,3957203557,null,75417967,40640955017,null,51321
2196,2015-01-08,278599530531121280,null,1298286932736,22546,null,1477,106985,null,5235,3924471165,null,72913727,40640955017,null,49200
2197,2015-01-09,305959081183810880,null,1380218366307,30439,null,2967,102135,null,4360,3881136194,null,70362612,40640955017,null,49200
2198,2015-01-10,289896388478220224,null,1461812732576,22162,null,3071,104727,null,6204,3774764281,null,62356576,40640955017,null,49200
2199,2015-01-11,298062820631928128,null,1274037630528,20760,null,1298,90475,null,5734,3679781350,null,62940216,40640955017,null,47869
2200,2015-01-12,320091242978092608,null,1331007196084,24861,null,456,98827,null,4355,3643000784,null,60932007,41156980051,null,47686
2201,2015-01-13,272161901252385664,null,1267878660532,30086,null,460,102182,null,5706,3252802391,null,55438489,43971662056,null,47686
2202,2015-01-14,313723755532736384,null,1248936144544,35414,null,418,104620,null,5465,2655832477,null,46104999,43971662056,null,47242
2203,2015-01-15,310577875462885376,null,1182671552012,26417,null,413,120239,null,4395,2775084401,null,45568037,43971662056,null,44782
